,drift_type,strength,length,window,step,tp_regular,fn_regular,fp_regular,delay_regular,tp_irregular,fn_irregular,fp_irregular,delay_irregular,fp_rate_regular,strength_mag,drift_name
43,2,"(0.3, 0.5)","(0.1, 0.2)",720,24,1,0,11,22,1,0,134,2800,11,0.4,Gradual
44,2,"(0.3, 0.5)","(0.1, 0.2)",720,168,1,0,1,46,1,0,21,2896,1,0.4,Gradual
45,2,"(0.3, 0.5)","(0.1, 0.2)",2160,24,1,0,14,22,1,0,87,2488,14,0.4,Gradual
46,2,"(0.3, 0.5)","(0.1, 0.2)",2160,168,1,0,4,22,1,0,9,2536,4,0.4,Gradual
47,2,"(0.3, 0.5)","(0.1, 0.2)",2160,720,1,0,1,4102,1,0,3,2656,1,0.4,Gradual
48,3,"(0.1, 0.2)","(0.05, 0.1)",168,24,1,0,37,10,1,0,146,3004,37,0.15000000000000002,Incremental
49,3,"(0.1, 0.2)","(0.05, 0.1)",720,24,1,0,11,22,1,0,134,3088,11,0.15000000000000002,Incremental
50,3,"(0.1, 0.2)","(0.05, 0.1)",720,168,1,0,1,46,1,0,21,3064,1,0.15000000000000002,Incremental
51,3,"(0.1, 0.2)","(0.05, 0.1)",2160,24,1,0,14,22,1,0,87,2752,14,0.15000000000000002,Incremental
52,3,"(0.1, 0.2)","(0.05, 0.1)",2160,168,1,0,4,22,1,0,9,2872,4,0.15000000000000002,Incremental
53,3,"(0.1, 0.2)","(0.05, 0.1)",2160,720,1,0,1,4822,1,0,3,3376,1,0.15000000000000002,Incremental
54,3,"(0.1, 0.2)","(0.1, 0.2)",168,24,1,0,37,10,1,0,146,3004,37,0.15000000000000002,Incremental
55,3,"(0.1, 0.2)","(0.1, 0.2)",720,24,1,0,11,22,1,0,134,3256,11,0.15000000000000002,Incremental
56,3,"(0.1, 0.2)","(0.1, 0.2)",720,168,1,0,1,46,1,0,21,3400,1,0.15000000000000002,Incremental
