,drift_type,strength,length,window,step,seed,tp_regular,fn_regular,fp_regular,delay_regular,tp_irregular,fn_irregular,fp_irregular,delay_irregular
61,1,0.75,"(0.1, 0.4)",168,24,1,1,0,1,223.0,1,0,3,368.0
62,1,0.75,"(0.1, 0.4)",168,24,2,1,0,1,222.0,1,0,3,1528.0
63,1,0.75,"(0.1, 0.4)",168,24,3,1,0,1,233.0,1,0,3,233.0
64,1,0.75,"(0.1, 0.4)",168,24,4,1,0,1,232.0,1,0,3,321.0
65,1,0.75,"(0.1, 0.4)",720,24,0,1,0,22,37.0,1,0,23,18.0
66,1,0.75,"(0.1, 0.4)",720,24,1,1,0,18,31.0,1,0,21,32.0
67,1,0.75,"(0.1, 0.4)",720,24,2,1,0,19,6.0,1,0,20,40.0
68,1,0.75,"(0.1, 0.4)",720,24,3,1,0,22,41.0,1,0,23,41.0
69,1,0.75,"(0.1, 0.4)",720,24,4,1,0,21,40.0,1,0,54,33.0
70,1,0.75,"(0.1, 0.4)",720,168,0,1,0,2,109.0,1,0,3,138.0
71,1,0.75,"(0.1, 0.4)",720,168,1,1,0,2,79.0,1,0,2,32.0
72,1,0.75,"(0.1, 0.4)",720,168,2,1,0,2,102.0,1,0,3,280.0
73,1,0.75,"(0.1, 0.4)",720,168,3,1,0,2,41.0,1,0,3,209.0
74,1,0.75,"(0.1, 0.4)",720,168,4,1,0,1,88.0,1,0,7,177.0
75,1,0.75,"(0.1, 0.4)",2160,24,0,1,0,62,37.0,1,0,62,42.0
76,1,0.75,"(0.1, 0.4)",2160,24,1,1,0,61,31.0,1,0,57,32.0
77,1,0.75,"(0.1, 0.4)",2160,24,2,1,0,61,30.0,1,0,55,16.0
78,1,0.75,"(0.1, 0.4)",2160,24,3,1,0,62,17.0,1,0,62,41.0
79,1,0.75,"(0.1, 0.4)",2160,24,4,1,0,71,40.0,1,0,110,9.0
80,1,0.75,"(0.1, 0.4)",2160,168,0,1,0,9,277.0,1,0,9,306.0
81,1,0.75,"(0.1, 0.4)",2160,168,1,1,0,8,79.0,1,0,8,200.0
82,1,0.75,"(0.1, 0.4)",2160,168,2,1,0,9,270.0,1,0,8,280.0
83,1,0.75,"(0.1, 0.4)",2160,168,3,1,0,9,209.0,1,0,8,41.0
84,1,0.75,"(0.1, 0.4)",2160,168,4,1,0,9,88.0,1,0,16,177.0
85,1,0.75,"(0.1, 0.4)",2160,720,0,1,0,2,925.0,1,0,2,1074.0
86,1,0.75,"(0.1, 0.4)",2160,720,1,1,0,2,1111.0,1,0,2,1040.0
87,1,0.75,"(0.1, 0.4)",2160,720,2,1,0,2,1182.0,1,0,1,112.0
88,1,0.75,"(0.1, 0.4)",2160,720,3,1,0,2,857.0,1,0,2,977.0
89,1,0.75,"(0.1, 0.4)",2160,720,4,1,0,2,1024.0,1,0,3,777.0
90,1,1.0,"(0.1, 0.4)",168,24,0,1,0,1,229.0,1,0,4,162.0
91,1,1.0,"(0.1, 0.4)",168,24,1,1,0,1,223.0,1,0,4,320.0
92,1,1.0,"(0.1, 0.4)",168,24,2,1,0,1,198.0,1,0,3,160.0
93,1,1.0,"(0.1, 0.4)",168,24,3,1,0,1,209.0,1,0,4,185.0
94,1,1.0,"(0.1, 0.4)",168,24,4,1,0,1,184.0,1,0,4,225.0
95,1,1.0,"(0.1, 0.4)",720,24,0,1,0,24,13.0,1,0,25,18.0
96,1,1.0,"(0.1, 0.4)",720,24,1,1,0,20,7.0,1,0,23,32.0
97,1,1.0,"(0.1, 0.4)",720,24,2,1,0,22,30.0,1,0,22,16.0
98,1,1.0,"(0.1, 0.4)",720,24,3,1,0,24,17.0,1,0,25,41.0
99,1,1.0,"(0.1, 0.4)",720,24,4,1,0,32,40.0,1,0,57,33.0
100,1,1.0,"(0.1, 0.4)",720,168,0,1,0,3,277.0,1,0,3,138.0
101,1,1.0,"(0.1, 0.4)",720,168,1,1,0,2,79.0,1,0,3,200.0
102,1,1.0,"(0.1, 0.4)",720,168,2,1,0,3,270.0,1,0,3,280.0
103,1,1.0,"(0.1, 0.4)",720,168,3,1,0,2,41.0,1,0,3,41.0
104,1,1.0,"(0.1, 0.4)",720,168,4,1,0,3,88.0,1,0,7,177.0
105,1,1.0,"(0.1, 0.4)",2160,24,0,1,0,67,13.0,1,0,69,42.0
106,1,1.0,"(0.1, 0.4)",2160,24,1,1,0,67,31.0,1,0,66,32.0
107,1,1.0,"(0.1, 0.4)",2160,24,2,1,0,67,6.0,1,0,65,16.0
108,1,1.0,"(0.1, 0.4)",2160,24,3,1,0,68,41.0,1,0,69,41.0
109,1,1.0,"(0.1, 0.4)",2160,24,4,1,0,77,40.0,1,0,123,33.0
110,1,1.0,"(0.1, 0.4)",2160,168,0,1,0,9,109.0,1,0,10,306.0
111,1,1.0,"(0.1, 0.4)",2160,168,1,1,0,9,79.0,1,0,9,32.0
112,1,1.0,"(0.1, 0.4)",2160,168,2,1,0,9,102.0,1,0,9,112.0
113,1,1.0,"(0.1, 0.4)",2160,168,3,1,0,9,41.0,1,0,9,41.0
114,1,1.0,"(0.1, 0.4)",2160,168,4,1,0,10,88.0,1,0,17,9.0
115,1,1.0,"(0.1, 0.4)",2160,720,0,1,0,2,925.0,1,0,2,354.0
